pdb_id,dockq_af2m,dockq_boltz2,iptm_af2m,iptm_boltz2,pdockq_af2m,pdockq_boltz2
8CM0,0.7902336511599389,0.7121196033106867,0.84,0.8339603543281555,0.4392247226586115,0.47081455555088686
8RO8,0.8107728327811778,0.8148429282192792,0.92,0.943758487701416,0.5820707512824566,0.5754724133443823
9ASS,0.8660630288316225,0.9037838393550892,0.91,0.9033127427101135,0.6178589930656775,0.582421122977211
9D5P,0.8832385435906791,0.9038025438260485,0.91,0.9300863146781921,0.550095752532798,0.5343789992629564
9E9G,0.19392200687268057,0.8310400055689424,0.77,0.8706029653549194,0.20817428664826954,0.23983276462102165
9EZV,0.34889768319819314,0.5662233803982192,0.6,0.8079838156700134,0.1664254552329969,0.2749545905625176
9FL4,0.9144877392528133,0.9670723734631,0.93,0.9715554118156433,0.5865777728885315,0.5780361865292868
9FWR,0.8964764681578391,0.968884961270601,0.93,0.9663131833076477,0.7150452405386167,0.7112599735945774
9G0D,0.8463742476629866,0.8280763182652954,0.88,0.8880493640899658,0.24139556710531895,0.1524440286270816
9HMX,0.384011925431677,0.4582542053501853,0.78,0.6890931129455566,0.3250786782748107,0.3510365894833959
9HPX,0.9069007563601229,0.9459373738229843,0.94,0.9626963138580322,0.7278218838696796,0.7273140046429631
9I5Y,0.7682496880725744,0.7516547231304701,0.85,0.8321179151535034,0.325937309215392,0.2993337877408054
9IRO,0.8479499257061841,0.8594930791370952,0.88,0.9148178696632385,0.5900406219477776,0.5916743129571599
9J9W,0.8997570558352009,0.8431085553432074,0.94,0.9525993466377258,0.5872011604597471,0.6069283982652888
9O24,0.9167174060330803,0.9416951970991662,0.95,0.9729306101799011,0.733777297975515,0.7354705274313863
9OHL,0.5979682052246896,0.5709286170864306,0.94,0.9588466286659241,0.5624940148636665,0.5893208480940886
9Q0B,0.6124008760196907,0.8356949502224077,0.87,0.8742644190788269,0.5061992497223299,0.5868983028260933
9RS3,0.9064345076860253,0.9164528322315473,0.87,0.9507531523704529,0.6759451450689371,0.7009000975914805
9S61,0.6915900697556392,0.4707018421642,0.86,0.9362463355064392,0.2731531637019982,0.30572546565012837
9SPR,0.12395000906795106,0.011930046239362497,0.19,0.8125713467597961,0.15855898954445147,0.23614471209671112
9UO0,0.014374663597013388,0.6125997621478141,0.53,0.9038278460502625,0.23313155489494494,0.3086408861506235
9YGS,0.7269345038599136,0.7750905082472254,0.87,0.8790626525878906,0.31896839086089257,0.11140862641303094
